Date,Link,Time_Until_Next_Sec,Estimated_Watch_Time_Sec
2026-01-27 14:13:33,https://www.tiktokv.com/share/video/7599328942868303106/,22.0,22.0
2026-01-27 14:13:27,https://www.tiktokv.com/share/video/7599062016686329119/,6.0,6.0
2026-01-27 14:13:22,https://www.tiktokv.com/share/video/7599777504726961438/,5.0,5.0
2026-01-27 14:12:41,https://www.tiktokv.com/share/video/7599299736973200662/,41.0,41.0
2026-01-27 14:12:37,https://www.tiktokv.com/share/video/7594162486069300494/,4.0,4.0
2026-01-27 14:12:20,https://www.tiktokv.com/share/video/7582078305315081502/,17.0,17.0
2026-01-27 14:12:09,https://www.tiktokv.com/share/video/7599679434286746911/,11.0,11.0
2026-01-27 14:11:45,https://www.tiktokv.com/share/video/7599024753998941470/,24.0,24.0
2026-01-27 14:11:22,https://www.tiktokv.com/share/video/7599067755748363541/,23.0,23.0
2026-01-27 14:11:11,https://www.tiktokv.com/share/video/7598681424958475527/,11.0,11.0
2026-01-27 14:11:09,https://www.tiktokv.com/share/video/7592076179276877077/,2.0,2.0
2026-01-27 14:11:00,https://www.tiktokv.com/share/video/7581044071016287510/,9.0,9.0
2026-01-27 14:10:23,https://www.tiktokv.com/share/video/7587579611723107615/,37.0,37.0
2026-01-27 14:10:16,https://www.tiktokv.com/share/video/7599687315333582111/,7.0,7.0
2026-01-27 14:10:00,https://www.tiktokv.com/share/video/7584177614667992333/,16.0,16.0
2026-01-27 14:09:52,https://www.tiktokv.com/share/video/7583841647201438990/,8.0,8.0
2026-01-27 14:09:42,https://www.tiktokv.com/share/video/7599686827393551646/,10.0,10.0
2026-01-27 14:09:14,https://www.tiktokv.com/share/video/7580563284491832606/,28.0,28.0
2026-01-27 14:09:13,https://www.tiktokv.com/share/video/7569175359485119766/,1.0,1.0
2026-01-27 14:09:09,https://www.tiktokv.com/share/video/7598575589146053902/,4.0,4.0
2026-01-27 14:09:07,https://www.tiktokv.com/share/video/7599014171451182349/,2.0,2.0
2026-01-27 14:09:06,https://www.tiktokv.com/share/video/7599052009609678135/,1.0,1.0
2026-01-27 14:08:57,https://www.tiktokv.com/share/video/7599085069160025358/,9.0,9.0
2026-01-27 14:08:57,https://www.tiktokv.com/share/video/7599691149112020255/,0.0,0.0
2026-01-27 14:08:54,https://www.tiktokv.com/share/video/7599784581486693663/,3.0,3.0
2026-01-27 12:55:05,https://www.tiktokv.com/share/video/7598616315129089302/,4429.0,
2026-01-27 12:55:04,https://www.tiktokv.com/share/video/7594866955522231565/,1.0,1.0
2026-01-27 12:54:59,https://www.tiktokv.com/share/video/7567461009171008786/,5.0,5.0
2026-01-27 12:54:41,https://www.tiktokv.com/share/video/7589713959654116639/,18.0,18.0
2026-01-27 12:54:28,https://www.tiktokv.com/share/video/7599017159318064398/,13.0,13.0
2026-01-27 12:54:27,https://www.tiktokv.com/share/video/7576739137277922567/,1.0,1.0
2026-01-27 12:54:08,https://www.tiktokv.com/share/video/7583150865456844045/,19.0,19.0
2026-01-27 12:53:55,https://www.tiktokv.com/share/video/7599097963188604190/,13.0,13.0
2026-01-27 12:53:52,https://www.tiktokv.com/share/video/7598996832454282504/,3.0,3.0
2026-01-27 12:53:50,https://www.tiktokv.com/share/video/7599747732915440927/,2.0,2.0
2026-01-27 12:53:41,https://www.tiktokv.com/share/video/7595107664678472991/,9.0,9.0
2026-01-27 12:53:41,https://www.tiktokv.com/share/video/7593044623971339534/,0.0,0.0
2026-01-27 12:53:37,https://www.tiktokv.com/share/video/7594929861702044941/,4.0,4.0
2026-01-27 12:53:25,https://www.tiktokv.com/share/video/7599083401013972254/,12.0,12.0
2026-01-27 12:53:15,https://www.tiktokv.com/share/video/7598931158902050103/,10.0,10.0
2026-01-27 12:53:14,https://www.tiktokv.com/share/video/7588052873817230605/,1.0,1.0
2026-01-27 12:53:12,https://www.tiktokv.com/share/video/7597856108199415070/,2.0,2.0
2026-01-27 12:52:46,https://www.tiktokv.com/share/video/7599687995469384991/,26.0,26.0
2026-01-27 12:52:43,https://www.tiktokv.com/share/video/7598949280086248734/,3.0,3.0
2026-01-27 12:52:42,https://www.tiktokv.com/share/video/7592001618107698445/,1.0,1.0
2026-01-27 12:52:37,https://www.tiktokv.com/share/video/7598967546414419213/,5.0,5.0
2026-01-27 12:52:35,https://www.tiktokv.com/share/video/7593081810456726814/,2.0,2.0
2026-01-27 12:52:33,https://www.tiktokv.com/share/video/7599045559265037598/,2.0,2.0
2026-01-27 12:52:32,https://www.tiktokv.com/share/video/7597577609068760333/,1.0,1.0
2026-01-27 12:52:29,https://www.tiktokv.com/share/video/7597098423556361503/,3.0,3.0
2026-01-27 12:51:52,https://www.tiktokv.com/share/video/7599016807118195981/,37.0,37.0
2026-01-27 12:50:21,https://www.tiktokv.com/share/video/7598459365196123447/,91.0,91.0
2026-01-27 12:50:16,https://www.tiktokv.com/share/video/7599311126341455127/,5.0,5.0
2026-01-27 12:50:09,https://www.tiktokv.com/share/video/7599767836722040095/,7.0,7.0
2026-01-27 12:50:04,https://www.tiktokv.com/share/video/7599084723444436242/,5.0,5.0
2026-01-27 12:50:03,https://www.tiktokv.com/share/video/7595848014275677457/,1.0,1.0
2026-01-27 12:50:01,https://www.tiktokv.com/share/video/7562751346634493198/,2.0,2.0
2026-01-27 12:49:59,https://www.tiktokv.com/share/video/7565310248416759054/,2.0,2.0
2026-01-27 12:49:58,https://www.tiktokv.com/share/video/7580892387321433399/,1.0,1.0
2026-01-27 12:49:34,https://www.tiktokv.com/share/video/7598302501678484749/,24.0,24.0
2026-01-27 12:48:52,https://www.tiktokv.com/share/video/7599017902221675790/,42.0,42.0
2026-01-27 12:48:44,https://www.tiktokv.com/share/video/7599744879194934558/,8.0,8.0
2026-01-27 12:48:23,https://www.tiktokv.com/share/video/7599196217804868878/,21.0,21.0
2026-01-27 12:48:20,https://www.tiktokv.com/share/video/7598828947979160846/,3.0,3.0
2026-01-27 04:53:31,https://www.tiktokv.com/share/video/7599714174377168159/,28489.0,
2026-01-27 04:53:29,https://www.tiktokv.com/share/video/7599711577348082974/,2.0,2.0
2026-01-27 04:53:24,https://www.tiktokv.com/share/video/7582638367377034518/,5.0,5.0
2026-01-27 04:53:04,https://www.tiktokv.com/share/video/7592681684215024917/,20.0,20.0
2026-01-27 04:52:28,https://www.tiktokv.com/share/video/7596571744136219959/,36.0,36.0
2026-01-27 04:52:27,https://www.tiktokv.com/share/video/7591368140173413646/,1.0,1.0
2026-01-27 04:52:26,https://www.tiktokv.com/share/video/7590918118613077279/,1.0,1.0
2026-01-27 04:52:22,https://www.tiktokv.com/share/video/7594441387391585591/,4.0,4.0
2026-01-27 04:52:19,https://www.tiktokv.com/share/video/7585158398103112982/,3.0,3.0
2026-01-27 04:52:16,https://www.tiktokv.com/share/video/7599539236970269982/,3.0,3.0
2026-01-27 04:52:14,https://www.tiktokv.com/share/video/7583028212469419278/,2.0,2.0
2026-01-27 04:52:13,https://www.tiktokv.com/share/video/7595101023702682910/,1.0,1.0
2026-01-27 04:52:12,https://www.tiktokv.com/share/video/7596004778581183766/,1.0,1.0
2026-01-27 04:51:55,https://www.tiktokv.com/share/video/7594195205155228950/,17.0,17.0
2026-01-27 04:49:40,https://www.tiktokv.com/share/video/7592653582709624077/,135.0,135.0
2026-01-27 03:17:26,https://www.tiktokv.com/share/video/7591965370110446862/,5534.0,
2026-01-27 03:17:25,https://www.tiktokv.com/share/video/7598700306955848990/,1.0,1.0
2026-01-27 03:17:25,https://www.tiktokv.com/share/video/7599678577784687903/,0.0,0.0
2026-01-27 03:17:23,https://www.tiktokv.com/share/video/7598699433827503390/,2.0,2.0
2026-01-27 03:17:23,https://www.tiktokv.com/share/video/7599665391970880798/,0.0,0.0
2026-01-27 03:17:21,https://www.tiktokv.com/share/video/7598625901080890637/,2.0,2.0
2026-01-27 03:17:19,https://www.tiktokv.com/share/video/7598785074007379231/,2.0,2.0
2026-01-27 03:17:14,https://www.tiktokv.com/share/video/7588957565321612565/,5.0,5.0
2026-01-27 03:17:11,https://www.tiktokv.com/share/video/7597535341741985037/,3.0,3.0
